,ATL,AUS,BNA,BOS,BUF,BWI,BZE,CUN,DAL,DCA,DEN,ELP,GRR,HNL,HOU,IAD,IAH,ISP,JAX,LAS,LGA,MBJ,MCO,MDW,MSY,NAS,OAK,ORD,PDX,PHL,PHX,PUJ,RNO,ROC,SAN,SAT,SEA,SFO,SJC,SJO,SMF
ATL,-,81.0,-,-,-,79.0,-,157.0,89.0,78.0,67.0,-,-,-,99.0,-,-,-,92.0,140.0,60.0,-,-,79.0,81.0,-,119.0,-,-,87.0,-,-,-,-,108.0,-,-,-,-,-,-
AUS,81.0,-,-,66.0,-,109.0,-,128.0,-,92.0,89.0,60.0,-,-,92.0,102.0,-,-,-,74.0,-,-,-,112.0,60.0,-,73.0,112.0,-,-,83.0,-,-,-,67.0,-,-,-,67.0,-,89.0
BNA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
BOS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
BUF,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
BWI,59.0,87.0,-,46.0,109.0,-,-,-,92.0,-,116.0,-,-,-,-,-,-,102.0,-,129.0,84.0,166.0,114.0,78.0,-,-,129.0,78.0,-,-,89.0,-,-,102.0,123.0,-,95.0,-,-,224.0,-
BZE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CUN,-,142.0,-,-,-,173.0,-,-,-,-,129.0,-,-,-,108.0,-,-,-,-,-,-,-,160.0,137.0,176.0,-,-,165.0,-,-,191.0,-,-,-,-,183.0,-,-,-,-,-
DAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DCA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DEN,67.0,85.0,-,84.0,83.0,97.0,220.0,109.0,-,-,-,78.0,102.0,-,89.0,92.0,89.0,185.0,108.0,79.0,71.0,-,129.0,66.0,109.0,-,138.0,66.0,53.0,98.0,79.0,-,85.0,-,89.0,-,60.0,91.0,85.0,147.0,85.0
ELP,-,60.0,-,-,-,-,-,-,-,-,81.0,-,-,-,81.0,-,91.0,-,156.0,104.0,-,-,133.0,123.0,-,-,-,118.0,-,-,67.0,-,-,-,113.0,-,-,-,-,-,-
GRR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HNL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HOU,77.0,92.0,-,-,-,89.0,145.0,95.0,-,92.0,89.0,81.0,-,-,-,-,-,-,-,-,88.0,185.0,-,82.0,-,-,150.0,-,-,109.0,89.0,-,-,-,151.0,-,-,-,132.0,168.0,132.0
IAD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IAH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ISP,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
JAX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
LAS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
LGA,-,-,-,-,-,-,-,-,74.0,-,95.0,-,-,-,88.0,-,-,-,88.0,-,-,-,-,64.0,84.0,-,-,101.0,-,-,-,-,-,-,-,-,-,-,-,-,-
MBJ,-,-,-,-,-,210.0,-,-,-,-,-,-,-,-,235.0,-,-,-,-,-,-,-,171.0,218.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MCO,88.0,53.0,-,-,-,114.0,-,136.0,-,67.0,129.0,123.0,-,-,88.0,-,89.0,114.0,-,-,-,129.0,-,89.0,59.0,132.0,-,89.0,-,89.0,-,179.0,-,-,-,-,-,-,-,273.0,98.0
MDW,79.0,112.0,-,60.0,97.0,109.0,-,-,83.0,78.0,89.0,-,-,-,82.0,-,89.0,-,-,109.0,64.0,174.0,-,-,97.0,-,92.0,-,99.0,89.0,99.0,-,137.0,103.0,138.0,95.0,85.0,-,-,-,111.0
MSY,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NAS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
OAK,120.0,73.0,-,-,-,102.0,-,-,-,-,-,-,-,119.0,150.0,-,154.0,-,-,-,95.0,-,-,64.0,-,-,-,-,-,-,-,-,-,-,-,-,53.0,-,-,347.0,-
ORD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PDX,-,-,-,-,-,-,-,-,101.0,-,53.0,-,-,-,-,-,-,-,-,70.0,-,-,-,89.0,-,-,40.0,-,-,-,60.0,-,-,-,77.0,-,141.0,-,53.0,-,79.0
PHL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PHX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PUJ,-,-,-,-,-,217.0,-,-,-,-,257.0,-,-,-,227.0,-,-,-,-,-,-,-,220.0,211.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
RNO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ROC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
SAN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
SAT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
SEA,-,-,105.0,-,-,100.0,-,-,91.0,-,60.0,-,-,-,-,-,-,-,-,53.0,-,-,-,53.0,-,-,53.0,-,-,-,81.0,-,-,-,-,-,-,-,-,-,-
SFO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
SJC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
SJO,-,-,-,-,-,211.0,-,-,-,-,214.0,-,-,-,199.0,-,-,-,-,-,-,-,206.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
SMF,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
